User name,User id,External system id,Barcode,Active,Type,Patron group,Departments,Proxy for,Last name,First name,Middle name,Preferred first name,Email,Phone,Mobile phone,Date of birth,Addresses,Preferred contact type id,Enrollment date,Expiration date,Created date,Updated date,Tags,Custom fields
username:87399,b1152251-fee3-46b1-bd96-8cb21a5ad854,externalsystemid:87399,0000087399,true,,"UC Stu/Graduate, Quarter",,,Mann,Xavier,L,,fse.hosting@ebsco.org,937-763-2598,,1980-01-06 00:00:00.000Z,f588607b-ce00-4e41-8871-b6e7c9f1c4d7;United States;3447 Crim Lane;;Dayton;OH;45406;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.776Z,2022-12-01 13:37:39.776Z,,
username:87398,d02f5e95-4800-4595-a771-9edc7b668f34,externalsystemid:87398,0000087398,true,,"UC Stu/Graduate, Quarter",,,Williams,Bettye,D,,fse.hosting@ebsco.org,360-708-4482,,1978-10-20 00:00:00.000Z,bb7d2201-eeab-4a57-92d2-41c490191751;United States;2345 Mutton Town Road;;Bellingham;WA;98225;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.800Z,2022-12-01 13:37:39.800Z,,
username:87397,7a4e38b7-e11b-4fc4-b881-0009bb725bab,externalsystemid:87397,0000087397,true,,"UC Stu/Graduate, Quarter",,,Hall,Shirley,W,,fse.hosting@ebsco.org,708-229-1277,,1955-02-16 00:00:00.000Z,a935cb0e-99b1-41da-a2be-c7150e6c39e9;United States;3381 Rose Street;;Oak Lawn;IL;60453;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.821Z,2022-12-01 13:37:39.821Z,,
username:87396,9fc3942a-4dba-4cf2-b53a-a8cb6c77f349,externalsystemid:87396,0000087396,true,,"UC Stu/Graduate, Quarter",,,Allred,Alisia,W,,fse.hosting@ebsco.org,906-296-2147,,1980-04-29 00:00:00.000Z,d147e97f-0924-4414-8063-e4764031ec83;United States;1869 Railroad Street;;Lake Linden;MI;49945;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.841Z,2022-12-01 13:37:39.841Z,,
username:87395,f0804628-72d5-4d2d-893a-8c0ef28ce91a,externalsystemid:87395,0000087395,true,,"UC Stu/Graduate, Quarter",,,Lassiter,Deborah,D,,fse.hosting@ebsco.org,252-388-8319,,1970-10-25 00:00:00.000Z,77efc302-feb7-473d-9e82-7ec7df45d882;United States;130 Green Acres Road;;Rocky Mount;NC;27801;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.862Z,2022-12-01 13:37:39.862Z,,
username:87394,2edb1882-2b7d-4d52-8aa7-23fe3e67489a,externalsystemid:87394,0000087394,true,,"UC Stu/Graduate, Quarter",,,Heredia,Stephen,P,,fse.hosting@ebsco.org,251-809-6856,,2000-03-20 00:00:00.000Z,ef5bdd87-f63e-4e41-9832-8a025d085118;United States;3674 Joyce Street;;Brewton;AL;36426;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.882Z,2022-12-01 13:37:39.882Z,,
username:87393,2bfa8939-0408-4a09-bc61-c2ececa20fb4,externalsystemid:87393,0000087393,true,,"UC Stu/Graduate, Quarter",,,Farmer,Jacob,J,,fse.hosting@ebsco.org,305-462-3343,,1980-01-25 00:00:00.000Z,f29a6cc9-1581-4e0a-a97d-496809f288d8;United States;1098 Marigold Lane;;Boca Raton;FL;33487;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.901Z,2022-12-01 13:37:39.901Z,,
username:87392,f7762b19-7435-4121-a2ab-80ee4631d7e2,externalsystemid:87392,0000087392,true,,"UC Stu/Graduate, Quarter",,,Taylor,Karen,G,,fse.hosting@ebsco.org,832-923-7801,,1968-02-25 00:00:00.000Z,60751e03-7b8e-4584-a7d1-249e0ab63f45;United States;145 Poe Road;;Houston;TX;77036;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.921Z,2022-12-01 13:37:39.921Z,,
username:87391,245f9fd7-23b7-40ea-8b76-7af76ae1972c,externalsystemid:87391,0000087391,true,,"UC Stu/Graduate, Quarter",,,Gray,Victor,M,,fse.hosting@ebsco.org,417-885-4293,,1967-11-27 00:00:00.000Z,2f60e7d9-78bd-4902-99ec-cbed93581f26;United States;1293 Briarwood Road;;Springfield;MO;65804;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.939Z,2022-12-01 13:37:39.939Z,,
username:87390,32bfff0e-179e-4c72-a8e3-9a72299d78e9,externalsystemid:87390,0000087390,true,,"UC Stu/Graduate, Quarter",,,Rode,Sylvester,S,,fse.hosting@ebsco.org,830-837-7258,,1998-02-02 00:00:00.000Z,0875db6b-6c8c-41b9-bb91-26d50409c5fe;United States;972 Parrish Avenue;;San Antonio;TX;78213;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-12-01 13:37:39.961Z,2022-12-01 13:37:39.961Z,,
